Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
MYC,142/957,2.8721398053235547e-35,7.258680598908623e-34,0,0,3.952534871654,314.36652474191783,RB1;CCNK;SMARCB1;TRRAP;CTNND1;RBPJ;SMC3;MYLK3;PREX2;YY1;TRIM28;SNRPD2;KAT5;PLAU;EP300;MAP3K5;GTF2I;PDK1;MED1;SMARCC1;SMARCC2;CSNK2A1;RUNX1;MSH6;XRN1;WDFY3;RAF1;SQSTM1;TP53;KPNB1;CBFB;MAX;PRKDC;MRPL14;IQGAP1;TXN;FOXO3;HIF1A;PDCD11;PRDX1;RAD21;BPTF;SMAD2;HSPA8;CREBBP;JUN;XRCC6;ZFHX3;UBE2I;SMAD3;VDR;ABCA9;SMARCA5;ESR1;IGF2R;SMARCA4;FOSL2;FOSL1;CDK9;SDK1;SNW1;SP1;CDK2;HBP1;CALM1;RPS21;NFE2L2;TP73;BMPR1A;KDM5B;PHF20;CHD4;CTCF;BRCA1;HK1;MED12;TUBA1A;OPA1;SUMO2;WDR5;UBTF;TNPO1;CTSD;KLF10;DSP;HSP90AA1;TBP;TCF12;AXIN1;ETV3;SMC1A;LATS1;EEF1G;NCOR2;RCN1;KAT2A;CREB1;NCOR1;IL1B;NDUFS3;NDUFS1;TOP1;EXOC1;GTF3C1;GTF3C2;CEBPA;CEBPB;HDAC2;HDAC3;HDAC1;HEATR1;AGPAT1;RELA;PPP2CA;HIRA;PSMB4;MNT;BTAF1;PSMB5;POLR2A;PSMB1;RPL13;BRD7;EIF4E;BUB1;BRD4;SUZ12;RANBP2;MAP3K1;STAT1;NFYB;NFYC;PTPN11;MLH1;PML;MIB1;MYO1B;POLR3A;KLF5;CARM1;CTNNB1;CEBPZ,Transcription_Factor_PPIs
AR,73/271,3.7741857539434927e-35,8.743530329969093e-34,0,0,7.963298506253833,631.1893041449163,RB1;ATF2;KDM5B;KDM1A;BRCA1;AHR;HMGB1;NR3C1;KAT5;SUMO1;ZMIZ1;SIN3A;EP300;MED1;SREBF1;DAXX;SMARCC1;HSP90AA1;TBP;ACTN2;ATRX;ETV5;RUNX1;PIAS1;NCOR2;NCOR1;TBL1XR1;RAF1;TP53;CEBPA;CEBPB;HDAC3;PRKDC;SRC;HDAC1;PXN;GATA4;PIK3R1;NR2C2;HIF1A;RELA;PRDX1;NRIP1;E2F1;E2F4;SPDEF;SMARCE1;RNF20;EGR1;SMAD1;KDM4A;CREBBP;XRCC6;JUN;SMAD4;UBE2I;SMAD3;CAV1;STAT3;ESR1;HIPK3;SMARCA4;CDK9;APPBP2;SP1;MDM2;CTNNB1;TAB2;TCF4;TCF3;CALM1;RAN;TAF1,Transcription_Factor_PPIs
BRCA1,90/418,8.470423552456347e-35,1.811367498140665e-33,0,0,6.002607134716207,470.9279263275311,RB1;ATF1;MDC1;SMARCB1;NUMA1;KDM1A;TRRAP;PREP;AHR;BACH1;ELK1;ETS1;MED17;ELK4;PPP1CB;YY1;MED13;SUMO1;MYC;SUMO2;KPNA6;EP300;JAK2;JUNB;JAK1;GTF2I;MED1;SMARCC1;SMARCC2;CSNK2A1;ARNT;SMC1A;YWHAZ;ETV5;RBX1;PIAS1;MSH6;RBL2;KAT2A;CREB1;EWSR1;PABPC1;TP53;ITIH5;HDAC2;VCP;PRKDC;SRC;HDAC1;PIK3R1;FOXO3;HIF1A;RELA;SNX3;PPP2CA;POLR2A;ABL1;E2F1;CSTF1;E2F4;BRD7;SMAD2;HSPA8;CREBBP;JUN;XRCC6;SMAD4;JUND;MAP3K1;UBE2I;SMAD3;JUP;NFYA;STAT1;VDR;CEP350;STAT3;MLH1;ESR1;USF2;FLI1;SMARCA4;CDK9;SP1;CDK2;HNRNPD;CTNNB1;STRN;TCF3;TP73,Transcription_Factor_PPIs
NCOR1,55/155,1.2820870064063441e-33,2.5458584841497403e-32,0,0,11.7,886.1207804852863,KDM5B;KDM5C;CD40;RARG;SMARCB1;RBPJ;NR3C1;BACH1;ETS1;CHD1;ETS2;PPP1CB;MECP2;TRIM28;SIN3A;MYC;SUMO2;EP300;MYBL2;SMARCC1;SMARCC2;ACTN2;ZBTB33;YWHAZ;RUNX1;PIAS1;NCOR2;TBL1XR1;PPARA;SQSTM1;TP53;CEBPB;HDAC3;HDAC1;RXRA;TBL1X;ZBTB7A;BPTF;SMARCE1;KDM4A;CREBBP;UBE2I;VDR;ESR1;PML;SMARCA4;NFKBIA;REST;SNW1;BCL6;SP1;CDK2;TAB2;TCF3;NFE2L2,Transcription_Factor_PPIs
RUNX1,44/106,1.5527141239505992e-30,2.8776968430551105e-29,0,0,14.942564909520064,1025.621021337782,YAP1;CEBPA;DNMT1;CEBPB;HDAC2;SMARCB1;NOTCH1;HDAC3;CTBP2;CBFB;HDAC1;GATA2;BMI1;ETS1;SIN3A;MYC;WDR5;EP300;SMAD2;SMARCE1;MBD3;SMAD1;SMARCC1;CREBBP;JUN;SMARCC2;SMAD3;JUP;VDR;CBX3;TCF12;FLI1;PML;HCFC1;SMARCA4;CDK9;NCOR2;ELF2;NCOR1;SP1;TAL1;TRAF6;CDK2;TCF3,Transcription_Factor_PPIs
PML,54/178,4.3017149945788607e-29,7.474229803080771e-28,0,0,9.241826992622595,603.6387459654301,RB1;ATF2;CHD4;NR3C1;MED17;KAT5;SUMO1;SIN3A;MYC;SUMO2;EP300;DAXX;CSNK2A1;AXIN1;ARNT;RUNX3;TOPORS;TGFBR1;RUNX1;RBX1;PIAS1;NCOR2;NCOR1;RBCK1;TP53;YAP1;HDAC2;HDAC3;HDAC1;CUL3;SRF;GATA2;RELA;RXRA;EIF4E;SMAD2;RANBP2;SUZ12;CREBBP;JUN;UBE2I;SMAD3;SETDB1;STAT3;KLHL20;SMARCA4;BCL6;SP1;CDK2;MDM2;CTNNB1;TCF4;TP73;EZH2,Transcription_Factor_PPIs
YY1,44/120,8.026637859197575e-28,1.312591367562897e-26,0,0,12.181001283697048,759.9680030736662,RB1;ATF2;APP;DDX5;HDAC2;NOTCH1;HDAC3;MAX;PRKDC;HDAC1;ARRB1;BRCA1;CTCF;MECP2;SUMO1;SIN3A;MYC;SUMO2;EP300;E2F3;JUNB;SMAD2;SMAD1;SREBF1;CREBBP;SMAD4;XRCC6;SMAD3;JUND;HSPA5;HCFC1;SMARCA4;FKBP1A;CREB1;BCL6;SP1;NEDD4;SP3;MDM2;TCF3;RAF1;TP53;EZH2;NFE2L2,Transcription_Factor_PPIs
SMAD2,77/384,1.041214853807186e-27,1.608098496435543e-26,0,0,5.410835772894075,336.1720306638536,MTCH1;BRCA1;PREX2;YY1;RPS14;OPA1;MYC;EP300;HMGN3;GTF2I;MEF2A;SMARCC1;PCID2;SMARCC2;S100A1;TCF12;LMO2;AXIN1;RPS3A;RUNX3;RHOA;TGFBR1;RUNX1;EEF1A1;ZEB2;KAT2A;ZEB1;IRF3;S100A4;TOP1;TP53;SQSTM1;ATF3;KPNB1;DDX5;HDAC2;ROCK1;CSH2;HDAC1;TGFBRAP1;GATA4;FOXO3;EPB41L5;RXRA;ACVR1C;UBR5;DVL1;E2F4;BPTF;SMAD1;CREBBP;JUN;CPSF7;SMAD4;TGFB1;SMAD3;NFYC;CAV1;ESR1;ACVR2B;PBX1;GATAD2B;PML;SMARCA4;CDK9;STAG1;SNW1;KLF5;SP1;NEDD4;CDK2;GNAS;NF1;CTNNB1;TCF4;RAN;TP73,Transcription_Factor_PPIs
POU5F1,72/338,1.136241994028726e-27,1.6625014438946622e-26,0,0,5.818619775984584,360.9992223710034,ATF2;MDC1;SMARCB1;KDM1A;NUMA1;TRRAP;CHD4;TTF2;HMGB1;CHD3;RBPJ;CHD1;ETS2;CDC73;HK2;GLI2;PPP1CB;TUBA1A;TRIM28;SUMO1;WDR5;UBAP2L;GTF2I;SAP30BP;SMARCC1;SMARCC2;TBP;CSNK2A1;TFE3;TFEB;SMC1A;HCFC1;NCOR2;EEF1A1;MSH6;CREB1;EWSR1;FRG1;HDAC2;CTBP2;HDAC1;RTN4;HIRA;SCAF8;RBBP5;RAD21;LEO1;MTA3;BRD4;BPTF;MBD3;SMARCE1;XRCC6;ZFHX3;UBE2I;SMAD3;SETDB1;NFYC;SMARCA5;NR2F2;GATAD2B;PML;SMARCA4;HNRNPL;KLF5;SP1;NEDD4;GNB1;CTNNB1;OGT;EZH2;TAF1,Transcription_Factor_PPIs
CTNNB1,77/398,1.197345052317827e-26,1.6643096227217795e-25,0,0,5.170984660278402,308.64110834559006,ATF2;APP;TRRAP;LRRK2;CTNND1;AHR;BRCA1;FOXM1;CDC73;IGF1R;TUBA1A;CDH2;SUMO1;CDH1;MYC;EP300;APPL1;TBP;CSNK2A1;AXIN1;ZBTB33;RUNX3;YWHAZ;TGFBR1;RBX1;KAT2A;PIK3CA;IRF3;TBL1XR1;RAPGEF2;TAX1BP3;VCL;YAP1;CEBPA;HDAC2;DDX5;NOTCH1;SRC;HDAC1;EPAS1;CUL3;TCF7;IQGAP1;MST1R;PIK3R1;FOXO3;HIF1A;HDAC6;RELA;RXRA;KIF3B;RBBP5;DVL1;LEO1;ABL1;TBL1X;RANBP2;SMAD2;EGR1;HSPA8;CREBBP;JUN;SMAD4;SMAD3;JUP;CAV1;SMARCA5;PTPN11;ESR1;PML;SMARCA4;CARM1;CDK2;TCF4;TCF3;EZH2;BMPR1A,Transcription_Factor_PPIs
NR3C1,59/239,2.126065756778061e-26,2.8145060970680995e-25,0,0,6.974608543154202,412.2896108152064,KDM5A;SMARCB1;ONECUT1;SRA1;HMGB1;ETS1;ETS2;TUBA1A;KAT5;TRIM28;SUMO1;SUMO2;EP300;MED1;DAXX;SMARCC1;HSP90AA1;TBP;CSNK2A1;NCOR2;NCOR1;CREB1;LCK;RAF1;TP53;CEBPA;CEBPB;HDAC2;PRKDC;SRC;HDAC1;TXN;RELA;HDAC6;PPP2CA;STIP1;PRDX1;NRIP1;SFN;STAT6;PPARGC1A;SMARCE1;STAT5B;CREBBP;JUN;UBE2I;SMAD3;SSB;STAT3;LARP7;NR2F2;PBX1;PML;SMARCA4;MAFF;GNB1;MDM2;CALM1;RAN,Transcription_Factor_PPIs
SP3,26/38,3.96577588423893e-26,5.011298617356465e-25,0,0,44.84528985507247,2622.979069729736,RB1;RYR1;DNMT1;CEBPB;HDAC2;HDAC1;RELA;MECP2;YY1;SUMO1;SIN3A;SUMO2;E2F1;EP300;ZBTB7B;ZBTB7A;GABPA;CREBBP;UBE2I;CSNK2A1;ESR1;PIAS1;REST;SP1;SP4;TP53,Transcription_Factor_PPIs
STAT1,52/196,5.459271107551595e-25,6.5985972517362764e-24,0,0,7.638267462092966,426.7294717557703,MDC1;CIITA;TRADD;BRCA1;ARRB2;TRIM28;MDK;MYC;SUMO2;KPNA6;EP300;CCR5;JAK1;GTF2I;CSNK2A1;SYK;LMO2;TGFBR1;JMJD6;PIAS1;PIK3CA;LCK;KIT;IRF2;TP53;ATF3;YAP1;VCP;HDAC3;SRC;HDAC1;FOXO3;RELA;PPP2CA;RXRA;HSF1;E2F1;FADD;STAT5B;CREBBP;JUN;SMAD4;UBE2I;VDR;STAT2;STAT3;PTPN11;PTK2;SMARCA4;NFKBIA;PTPN2;TP73,Transcription_Factor_PPIs
CREB1,43/134,1.6412461869258761e-24,1.901110166522473e-23,0,0,9.923076923076923,543.453049745878,ATF1;NOTCH2;ATF2;CIITA;CEBPB;HDAC2;HDAC1;SRF;SRA1;BRCA1;CHD3;NR3C1;HDAC6;GLI2;YY1;MECP2;KAT5;SUMO1;MYC;ABL1;EP300;PRKG2;ATF7IP;SUZ12;CD74;DAXX;CREBBP;JUN;UBE2I;CSNK2A1;NFYA;SMARCA5;HNF1B;SREBF2;HIPK3;PIAS1;SMARCA4;MEIS1;ZNF92;SP1;CARM1;TP53;TAF1,Transcription_Factor_PPIs
STAT3,57/246,4.761367571456627e-24,5.294640739459769e-23,0,0,6.399825021872266,343.6802501304765,RB1;NDUFA13;KDM1A;BRCA1;NR3C1;FOXM1;IGF1R;KAT5;PPP2R1B;TRIM28;SUMO2;KPNA6;EP300;SUPT20H;CCR5;JAK2;JAK1;GTF2I;DAXX;HSP90AA1;SYK;PUS7;PIAS1;LCK;TRAF6;KIT;CD44;DNMT1;CEBPB;HDAC2;HDAC3;SRC;HDAC1;GATA2;HIF1A;RELA;STAT6;PPARGC1A;STAT5B;SMAD1;CREBBP;JUN;ZFHX3;MAP3K1;STAT1;STAT2;PTPN11;ESR1;PTK2;PML;SMARCA4;IL22RA1;CDK9;SP1;BHLHE40;CDK2;PTPN2,Transcription_Factor_PPIs
SRF,36/93,5.980783335028189e-24,6.394837565914756e-23,0,0,13.184731058415268,705.0335933703922,RARG;CEBPB;HDAC3;SRC;PRKDC;TCF7;GATA6;GATA4;GATA2;ELK1;RELA;ELK4;RXRA;SUMO1;KAT5;SIX5;ASCC3;NKX2-5;GTF2I;BPTF;CREBBP;UBE2I;CSNK2A1;PRRX1;NFYA;SREBF2;PML;FLI1;SMARCA4;NCOR2;ELF1;ZEB1;CREB1;SP1;TCF3;OGT,Transcription_Factor_PPIs
GATA1,31/69,3.671628112266314e-23,3.780417093370501e-22,0,0,16.954155881507045,875.8317199588589,RB1;HDAC2;SMARCB1;HDAC3;HDAC1;SRA1;CHD4;MED17;SPIB;SUMO1;EP300;SMARCE1;MBD3;MED1;SMARCC1;CREBBP;SMARCC2;LMO2;STAT3;MBD2;SMARCA5;FLI1;RUNX1;SMARCA4;CREB1;ZZZ3;TAL1;SP1;TAF7;TCF3;PPARA,Transcription_Factor_PPIs
ZBTB7A,21/29,3.586626682988797e-22,3.561007920967449e-21,0,0,54.049459459459456,2668.943927385801,RB1;SREBF1;CEBPB;HDAC2;HDAC3;HDAC1;RELA;EEF1A1;NFKBIA;NCOR2;NCOR1;SUMO1;SIN3A;SP1;SP4;SUMO2;SP3;UTP20;BCOR;ZBTB7B;TP53,Transcription_Factor_PPIs
SMAD4,54/245,9.425759837722374e-22,8.900512546513186e-21,0,0,5.978693682060433,289.449042337954,ATF2;BRCA1;CTCF;YY1;SUMO1;ZMIZ1;SIN3A;EP300;JUNB;MEF2A;DAXX;TFE3;PSG2;TGFBR1;PIAS1;EEF1A1;IRF3;EWSR1;SQSTM1;KPNB1;CEBPA;DDX5;CEBPB;HDAC2;CEBPD;MAX;CSH2;HDAC1;TCF7;TGFBRAP1;GATA6;GATA4;GATA2;FOXO3;RELA;DVL1;SMAD2;ATF7IP;SMAD1;CREBBP;JUN;JUND;UBE2I;SMAD3;STAT1;ESR1;PBX1;SNW1;KLF5;SP1;CDK2;NF1;CTNNB1;DCP1A,Transcription_Factor_PPIs
NFKB1,55/254,9.604869654510632e-22,8.900512546513186e-21,0,0,5.848687883863764,283.0449213109618,ATF2;BRCA1;HMGB1;NR3C1;ETS1;YY1;LYL1;KAT5;SUMO1;SIN3A;EP300;DSP;HSP90AA1;CSNK2A1;IL1R1;NCOR2;ELF1;NCOR1;IRF2;MYH9;RAF1;ATF3;CEBPB;HDAC2;NOTCH1;HDAC3;PRKDC;HDAC1;CUL3;TXN;RELA;HDAC6;PPP2CA;RXRA;PDCD11;POLR2A;E2F1;STAT6;MYH10;HSPA8;CREBBP;JUN;HSPA1L;HSPA5;STAT3;ESR1;PML;CDK9;NFKBIA;KLF5;SP1;CARM1;CTNNB1;TAB2;CALM1,Transcription_Factor_PPIs
E2F1,39/126,1.0436963435920097e-21,9.359599468341246e-21,0,0,9.374253887389273,452.8844388326902,RB1;CEBPA;DNMT1;HDAC2;HDAC3;KDM1A;CEBPD;TRRAP;PRKDC;HDAC1;BRCA1;SPIB;KAT5;TRIM28;SUMO1;CHL1;NRIP1;ABL1;MYBL2;E2F4;BRD2;CREBBP;TBP;STAT1;IGF1;ESR1;RBX1;HCFC1;NCOR2;RBL2;KAT2A;TFDP1;SP1;SP4;SP3;CDK2;MDM2;TP53;BIRC3,Transcription_Factor_PPIs
