Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
TRP53 mouse,27/167,2.0989278155895947e-08,9.1780389027145e-07,0,0,3.9692056583242654,70.17259538330974,STEAP3;NOTCH1;SRC;NR3C1;FOXO3;FOXM1;RELA;IGF1R;CKS1B;SIN3A;MYC;E2F1;PTGDS;NKX2-5;HRAS;EGR1;SREBF1;SMAD3;PTK2;PML;RUNX1;RRM2B;DDIT4;CDK2;MDM2;TCF4;ATF3,TRRUST_Transcription_Factors_2019
HDAC1 human,17/71,2.3881882656050745e-08,9.57265463130034e-07,0,0,6.438623769086632,112.99878534082224,EGR1;DNMT1;HSPA5;STAT3;RUNX3;ESR1;SFRP1;CDH1;SP1;E2F1;TXNIP;SNAI2;TP53;CD44;MICA;BIRC3;MICB,TRRUST_Transcription_Factors_2019
WT1 human,15/57,4.0567893474662816e-08,1.501012058562524e-06,0,0,7.293233082706767,124.1329339682289,JUN;UBE2I;SMAD3;VDR;IGF2;CTCF;IGF1;ETS1;CDC73;IGF1R;CDH1;MYC;SNAI2;CD14;JUNB,TRRUST_Transcription_Factors_2019
E2F1 human,23/134,7.468511627648126e-08,2.565967209213392e-06,0,0,4.252574351165901,69.78468136204292,RB1;DNMT1;CREBBP;HSPA5;BRCA1;FOXM1;BMI1;PCSK6;IRF3;CUX1;MYC;DDIT3;IL1B;NRIP1;PDK4;TP53BP2;MDM2;E2F1;MYBL2;TP53;MYH10;MAP3K5;TP73,TRRUST_Transcription_Factors_2019
RELA human,37/301,1.0852116486904689e-07,3.3832662856565724e-06,0,0,2.8970813748041477,46.45852577431197,CD40;EPAS1;HDAC1;GSTP1;FOXO3;HIF1A;AGER;YY1;CDH1;PLAU;MYC;PDK4;E2F1;CCR5;JUNB;MICA;EGR1;CD74;TBP;CSNK2A1;STAT1;MMP1;STAT3;HLA-A;GADD45G;NCOR2;NFKBIA;CREB3;BMP2;NCOR1;CD40LG;IL1B;CARM1;PPARA;TP53;BCL2L1;BIRC3,TRRUST_Transcription_Factors_2019
ARNT human,9/20,1.1957489990886017e-07,3.3832662856565724e-06,0,0,16.628213835257593,265.0424693116468,JUN;EGLN2;BHLHE40;CDK2;BRCA1;AHR;ESR1;HIF1A;CTSD,TRRUST_Transcription_Factors_2019
RB1 mouse,9/20,1.1957489990886017e-07,3.3832662856565724e-06,0,0,16.628213835257593,265.0424693116468,FOSL1;ATF2;JUN;DNMT1;ELF1;SP1;IGF2;E2F1;MYBL2,TRRUST_Transcription_Factors_2019
SIRT1 human,13/48,2.254419838834762e-07,6.024310791552891e-06,0,0,7.571489817792068,115.8831885888177,EGLN1;NOTCH1;BCL11A;FOXO3;HIF1A;CDH1;MYC;IL1B;HSF1;CTNNB1;TP53;TP73;EZH2,TRRUST_Transcription_Factors_2019
RBMX human,6/8,2.844405692670753e-07,7.200837569340168e-06,0,0,60.804255319148936,916.486822560328,FOSL1;EGR1;JUND;KIT;TXNIP;JUNB,TRRUST_Transcription_Factors_2019
CTCF human,10/30,6.760898749346954e-07,1.5777284398917205e-05,0,0,10.167735042735044,144.4523998441544,RBL2;APP;BCL6;SIX5;RAD21;MYC;IGF2;NF1;BRCA1;ASAP2,TRRUST_Transcription_Factors_2019
KAT2B human,7/13,6.920332355133098e-07,1.5777284398917205e-05,0,0,23.666311679091237,335.67425220496324,RB1;YY1;SMAD4;ZEB1;CDK2;CLOCK;TP73,TRRUST_Transcription_Factors_2019
STAT3 mouse,16/79,7.216221554598307e-07,1.5777284398917205e-05,0,0,5.186140979689367,73.34118266342239,MDC1;SREBF1;EGR1;TGFB1;CEBPD;CAV1;STAT3;PRDM1;PIK3R1;HIF1A;RELA;EPOR;MYC;TCF4;NKX2-5;BCL2L1,TRRUST_Transcription_Factors_2019
MTA1 human,9/24,7.841808932568927e-07,1.6399609115502845e-05,0,0,12.191462113127,171.39520760725293,HDAC1;CDH1;MYC;SUMO2;SNAI2;BRCA1;ESR1;MTA3;BCL2L1,TRRUST_Transcription_Factors_2019
STAT3 human,22/142,8.89747689438205e-07,1.783202660915736e-05,0,0,3.756746031746032,52.3402175867198,MDC1;DNMT1;TGFB1;EPAS1;VDR;MMP1;STAT1;PRDM1;NR2C2;HIF1A;PSMB5;BCL6;CDH1;MYC;DDIT3;JAK2;PPARA;JUNB;TP53;MYD88;MICA;BCL2L1,TRRUST_Transcription_Factors_2019
DNMT1 human,10/31,9.558545479506285e-07,1.8390641502570088e-05,0,0,9.683048433048434,134.2134428876942,RB1;RASSF1;BMP2;SFRP1;HDAC1;CDH1;MBD2;ESR1;RUNX3;TP53,TRRUST_Transcription_Factors_2019
MYC human,17/100,4.215895915256577e-06,7.799407443224667e-05,0,0,4.182590426290739,51.76645125405695,CEBPA;CREBBP;HDAC2;CBFB;GATA4;HLA-A;FOXM1;BMI1;HLA-G;SFRP1;CDK2;EP300;BRD7;JUNB;TP53;ATF3;TP73,TRRUST_Transcription_Factors_2019
MYCN human,11/45,5.778625788288021e-06,0.00010294514830246436,0,0,6.581314878892734,79.37950704687557,NGFR;HDAC2;CIITA;MDM2;MYBL2;HLA-A;BMI1;CTSD;HLA-G;TP53;CD44,TRRUST_Transcription_Factors_2019
STAT1 human,15/84,8.247076928859475e-06,0.00014167300009933597,0,0,4.433054686405455,51.891794268213374,APP;CD40;CIITA;HSP90AA1;IL1R1;STAT2;STAT3;LY96;PML;SMARCA4;CD40LG;IL1B;JAK2;PPARA;TP53,TRRUST_Transcription_Factors_2019
EP300 human,12/56,9.5114111840606e-06,0.0001577582337770051,0,0,5.55090519758614,64.18521839748716,YY1;DNMT1;CREBBP;ZEB1;MYC;MDM2;S100A4;BRCA1;IGF1;RELA;TP73;EZH2,TRRUST_Transcription_Factors_2019
HDAC9 human,7/18,1.0416997597943343e-05,0.0001670191948203583,0,0,12.905508761738794,148.05292185967565,MEF2A;APP;HSPA5;STAT6;ESR1;TP53;RELA,TRRUST_Transcription_Factors_2019
CREBBP mouse,10/41,1.5702647377512715e-05,0.000243644302857536,0,0,6.556038047973532,72.52080306467913,SPIB;MED1;MYH1;CREBBP;SETDB1;NFYA;NFYB;EP300;ESR1;CLOCK,TRRUST_Transcription_Factors_2019
BCL11B mouse,5/9,2.517043382408379e-05,0.0003720159856012137,0,0,25.305526036131774,267.98148482540233,NOTCH1;AHR;ZBTB7B;RUNX3;BCL2L1,TRRUST_Transcription_Factors_2019
ATF4 human,9/35,2.647005140900126e-05,0.0003720159856012137,0,0,7.029472128725064,74.08709759744295,HRK;CEBPB;HSPA5;PLAU;DDIT3;SIGMAR1;DDIT4;CHAC1;ATF3,TRRUST_Transcription_Factors_2019
TWIST1 human,9/35,2.647005140900126e-05,0.0003720159856012137,0,0,7.029472128725064,74.08709759744295,ITGB1;RBL2;CDH2;CDH1;MMP1;NF1;BMI1;ESR1;CD44,TRRUST_Transcription_Factors_2019
NFKB1 mouse,24/200,2.706977026204258e-05,0.0003720159856012137,0,0,2.7920528495365806,29.36427931527517,CEBPA;CD40;CEBPB;TGFB1;ITGAM;EPAS1;STAT1;SRC;AGER;YY1;NFKBIA;BMP2;KLF5;CDH1;MYC;IL1B;PDK4;CTNNB1;PPARA;JUNB;PPARGC1A;TLR4;BCL2L1;BIRC3,TRRUST_Transcription_Factors_2019
AR human,15/93,2.925047574605528e-05,0.0003908188564959053,0,0,3.919689333223168,40.920046459361096,MED1;JUN;TBP;ETV1;RELA;IGF1R;ELK4;REST;KLF5;CDH2;CDH1;MYC;BSG;EP300;CTNNB1,TRRUST_Transcription_Factors_2019
HIF1A human,14/83,3.2019216932309064e-05,0.00041624982012001773,0,0,4.133078310630093,42.77394785819689,EGLN1;PFKFB4;STAT3;ARNT;NR3C1;HIF1A;EDNRB;PIK3CA;CDH1;PLAU;ZNF217;E2F3;PPARA;MICA,TRRUST_Transcription_Factors_2019
LEF1 human,8/29,4.29359115914154e-05,0.0005434782493544949,0,0,7.729921819474058,77.73056315428742,CEBPA;EDA;MYC;SNAI2;CTNNB1;TCF4;TCF3;ESR1,TRRUST_Transcription_Factors_2019
MYC mouse,10/49,8.164341414293741e-05,0.0010069354410962,0,0,5.209018189787421,49.033266455130274,SUZ12;HDAC2;CEBPD;TRRAP;CDH1;MYC;CAV1;EIF4E;RHOA;EZH2,TRRUST_Transcription_Factors_2019
BCL6 human,6/17,8.699818010076606e-05,0.0010206371860602,0,0,11.05009671179884,103.31424232380424,XBP1;SUMO1;BCL6;MYC;STAT3;BCL2L1,TRRUST_Transcription_Factors_2019
HMGA1 human,6/17,8.699818010076606e-05,0.0010206371860602,0,0,11.05009671179884,103.31424232380424,SP1;CDH1;IL1B;BRCA1;TP53;CD44,TRRUST_Transcription_Factors_2019
ETS2 human,8/32,9.274017739046305e-05,0.0010620958410669,0,0,6.762615493958777,62.79567797490206,APP;EGR1;MMP1;LCK;MYC;MDM2;TP53;FLI1,TRRUST_Transcription_Factors_2019
CREBBP human,7/25,0.00011763137201672912,0.0013158299986057,0,0,7.88380073364099,71.33227260525433,CREB1;EP300;S100A4;BRCA1;PPARA;TP53;EZH2,TRRUST_Transcription_Factors_2019
ETS2 mouse,7/26,0.0001544356060250538,0.0016589403531945,0,0,7.468471498234404,65.54131431087784,EGR1;JUN;SETDB1;KIT;MDM2;FLI1;BCL2L1,TRRUST_Transcription_Factors_2019
SIN3A mouse,4/7,0.00015520231994543805,0.0016589403531945,0,0,26.965322009908,236.50693400337607,CEBPB;REST;SP3;SMARCA4,TRRUST_Transcription_Factors_2019
YY1 mouse,7/27,0.000200031927781082,0.002091638201363,0,0,7.094675186368477,60.42558669685911,RB1;HSPA5;CDH1;RGS16;TCF4;NR3C1;NKX2-5,TRRUST_Transcription_Factors_2019
STAT5A human,5/13,0.0002193074247004982,0.0022444015166157,0,0,12.650106269925612,106.57760131934305,SUMO1;BCL6;SP1;ESR1;BCL2L1,TRRUST_Transcription_Factors_2019
VHL human,6/20,0.0002411560815449012,0.0024165849004811,0,0,8.680851063829786,72.31206397186655,KLF10;BHLHE40;TCF4;HIF1A;TP53;IGF1R,TRRUST_Transcription_Factors_2019
HDAC1 mouse,7/28,0.00025589975922478484,0.0025119955956555,0,0,6.756478523251686,55.88097418357726,PPP2CA;NFKBIA;RBL2;CEBPB;JUN;NFYA;SP1,TRRUST_Transcription_Factors_2019
MYB human,8/37,0.0002759637105299663,0.0026547708952982,0,0,5.595176825233438,45.85382355259513,CEBPA;GSTM1;LCK;MYC;LMO2;SP3;NR3C1;SIM2,TRRUST_Transcription_Factors_2019
DMTF1 mouse,4/8,0.000298764072055477,0.0026835823953871,0,0,20.22292993630573,164.1263943940429,EGR1;JUNB;ETS1;ETS2,TRRUST_Transcription_Factors_2019
MYBL2 human,4/8,0.000298764072055477,0.0026835823953871,0,0,20.22292993630573,164.1263943940429,SP1;MYC;PSG1;MYBL2,TRRUST_Transcription_Factors_2019
STAT5B human,4/8,0.000298764072055477,0.0026835823953871,0,0,20.22292993630573,164.1263943940429,BCL6;IGF1;ESR1;BCL2L1,TRRUST_Transcription_Factors_2019
FOS human,10/57,0.0003046770170310328,0.0026835823953871,0,0,4.320558283324241,34.980355874984085,SMAD4;CD40LG;PLAU;MMP1;MYC;DDIT3;GSTP1;SOX7;TP53;BCL2L1,TRRUST_Transcription_Factors_2019
USF2 human,9/47,0.000306854535855076,0.0026835823953871,0,0,4.806605628264899,38.881290217106056,TGFB1;EPAS1;MYH9;BRCA1;ASCL2;HIF1A;B2M;CTSD;IGF2R,TRRUST_Transcription_Factors_2019
SNAI2 human,5/14,0.0003278907657109152,0.0027799465284057,0,0,11.243948518124926,90.20828789913404,JAG1;CDH2;VDR;CDH1;CD44,TRRUST_Transcription_Factors_2019
GATA3 human,8/38,0.00033521184750006424,0.0027799465284057,0,0,5.408386638237385,43.27113774302391,ZEB1;CD40LG;CDH1;MMP1;CD8A;ESR1;RELA;EPOR,TRRUST_Transcription_Factors_2019
NR3C1 human,8/38,0.00033521184750006424,0.0027799465284057,0,0,5.408386638237385,43.27113774302391,ATF2;STAT1;SRF;BRCA1;NR3C1;ETS1;ELK1;TP53,TRRUST_Transcription_Factors_2019
CTNNB1 human,6/22,0.0004280247864348628,0.0034894902080537,0,0,7.594946808510638,58.90890961592071,RB1;JUN;MYC;TCF7;CD44;GLI2,TRRUST_Transcription_Factors_2019
JUN mouse,16/131,0.0004659600839845865,0.0036676281533022,0,0,2.8333239831697057,21.735591592935407,JUN;TGFB1;TBP;CEBPD;SRC;PRDM1;NR3C1;ESR1;FOSL1;BMP2;PLAU;IL1B;ALDH1A1;CD14;PDK1;NFE2L2,TRRUST_Transcription_Factors_2019
CEBPB human,10/60,0.0004680225994749934,0.0036676281533022,0,0,4.0606837606837605,31.133237922410213,XBP1;MMP1;CSH2;IL1B;DDIT3;HSF1;PRDM1;TOP1;GADD45G;BCL2L1,TRRUST_Transcription_Factors_2019
FOSL2 human,5/15,0.00047275040645475714,0.0036676281533022,0,0,10.119022316684378,77.4807770000612,FOSL1;TGFB1;BCL6;MDM2;BRCA1,TRRUST_Transcription_Factors_2019
HSF1 human,7/31,0.0005020742162760002,0.0038332967941072,0,0,5.910986865459709,44.904363995978656,STIP1;JUN;IL1B;HLA-G;RELA;MICA;MICB,TRRUST_Transcription_Factors_2019
E2F4 human,6/23,0.0005560877768795344,0.0041793471981102,0,0,7.147809762202754,53.56986356719761,CUX1;MYC;CDK2;BRCA1;HCFC1;MAP3K5,TRRUST_Transcription_Factors_2019
ATF2 human,7/32,0.0006166882764266416,0.0045634932455571,0,0,5.674249201277955,41.93920931622922,JUN;MAP3K1;KAT5;PLAU;PLAT;RELA;ATF3,TRRUST_Transcription_Factors_2019
NFE2L2 mouse,9/53,0.0007744026367961382,0.0056437525499839,0,0,4.149849616765305,29.72711000271105,CEBPB;TGFB1;PRDX1;MDM2;KEAP1;TXNIP;PTGDS;SQSTM1;NFE2L2,TRRUST_Transcription_Factors_2019
ABL1 human,4/10,0.0008304856858813569,0.0057066230701276,0,0,13.480537862703468,95.62419350385832,JUN;BCL6;FOXO3;TP53,TRRUST_Transcription_Factors_2019
LMO2 human,4/10,0.0008304856858813569,0.0057066230701276,0,0,13.480537862703468,95.62419350385832,LYL1;ZEB1;CDH1;ELK1,TRRUST_Transcription_Factors_2019
TFDP1 human,4/10,0.0008304856858813569,0.0057066230701276,0,0,13.480537862703468,95.62419350385832,CAV1;NRIP1;MYBL2;TP53,TRRUST_Transcription_Factors_2019
ZNF382 human,4/10,0.0008304856858813569,0.0057066230701276,0,0,13.480537862703468,95.62419350385832,STAT5B;JUN;MYC;STAT3,TRRUST_Transcription_Factors_2019
TWIST2 human,6/25,0.0008997282117826702,0.0060953418291192,0,0,6.394736842105263,44.84896136838807,ITGB1;RBL2;CDH2;CDH1;NF1;CD44,TRRUST_Transcription_Factors_2019
PPARG human,10/66,0.0010144287365055,0.006776947531377,0,0,3.624465811965812,24.985000079511927,CEBPA;CIITA;JAG1;MMP1;MYC;CAV1;TXNIP;TP53;AGER;BCL2L1,TRRUST_Transcription_Factors_2019
ETS1 human,11/79,0.0011886271480272,0.0078319131260426,0,0,3.2847750865051903,22.122816646363816,BMP4;EGR1;CSNK2A1;PLAU;MMP1;LCK;CD8A;MDM2;SQSTM1;TP53;FLI1,TRRUST_Transcription_Factors_2019
MEF2A human,4/11,0.0012563477763291,0.0081662605461391,0,0,11.554140127388536,77.17641459942239,MEF2A;JUN;COX6A1;PPARGC1A,TRRUST_Transcription_Factors_2019
GATA1 human,9/57,0.001328179858741,0.0085180601607258,0,0,3.803228388473853,25.19237871521452,CEBPA;SMAD1;CBFB;TAL1;GNAS;BACH1;FLI1;EPOR;RUNX1,TRRUST_Transcription_Factors_2019
HDAC2 human,6/27,0.0013871137799157,0.0087789701070984,0,0,5.785106382978723,38.069066730651535,DNMT1;CDH1;SP1;MYC;SNAI2;IGF1,TRRUST_Transcription_Factors_2019
SMARCA4 mouse,5/19,0.0015633025397285,0.0096403656616593,0,0,7.226354941551541,46.68915179910446,NFKBIA;REST;CDH1;CALM1;CD44,TRRUST_Transcription_Factors_2019
TRP73 mouse,5/19,0.0015633025397285,0.0096403656616593,0,0,7.226354941551541,46.68915179910446,NGFR;E2F1;MDM2;NR3C1;FOXO3,TRRUST_Transcription_Factors_2019
REL mouse,6/28,0.0016956278965693,0.0102537014430106,0,0,5.521856866537718,35.227802213404814,CEBPD;MYC;IL1B;E2F3;EZH2;BIRC3,TRRUST_Transcription_Factors_2019
ETS1 mouse,9/59,0.0017053973293988,0.0102537014430106,0,0,3.6507150480256136,23.26950131081269,BMP4;EGR1;ZEB1;EBF1;PRDM1;NR2F2;RUNX3;TLR4;FLI1,TRRUST_Transcription_Factors_2019
SP3 mouse,11/83,0.0017893916552915,0.0104741241421793,0,0,3.1016339869281047,19.620563084779807,CEBPA;DNMT1;BMP2;REST;SETDB1;TAL1;EPAS1;SP1;BSG;RHO;AHR,TRRUST_Transcription_Factors_2019
ARNTL mouse,4/12,0.0018143142008693,0.0104741241421793,0,0,10.109341825902336,63.81064815865172,BHLHE40;CTNNB1;TCF3;NFE2L2,TRRUST_Transcription_Factors_2019
ETV2 mouse,3/6,0.0018944881504565,0.0104741241421793,0,0,20.20254506892895,126.64584750595508,PLAU;LMO2;FLI1,TRRUST_Transcription_Factors_2019
FOXO4 human,3/6,0.0018944881504565,0.0104741241421793,0,0,20.20254506892895,126.64584750595508,CREB1;BCL6;HIF1A,TRRUST_Transcription_Factors_2019
MEF2D human,3/6,0.0018944881504565,0.0104741241421793,0,0,20.20254506892895,126.64584750595508,JUN;CD14;ATF3,TRRUST_Transcription_Factors_2019
PRDM1 human,3/6,0.0018944881504565,0.0104741241421793,0,0,20.20254506892895,126.64584750595508,CIITA;MYC;LMO2,TRRUST_Transcription_Factors_2019
SOX4 mouse,3/6,0.0018944881504565,0.0104741241421793,0,0,20.20254506892895,126.64584750595508,CTNNB1;TCF4;EZH2,TRRUST_Transcription_Factors_2019
ESR1 mouse,6/29,0.0020535335344662,0.0110983104503176,0,0,5.2814986123959295,32.682934297114585,SREBF1;BMP2;MYC;STAT3;PIK3R1;IGF1,TRRUST_Transcription_Factors_2019
TWIST1 mouse,6/29,0.0020535335344662,0.0110983104503176,0,0,5.2814986123959295,32.682934297114585,ZEB1;CDH1;TBX20;ESR1;RUNX3;BRD4,TRRUST_Transcription_Factors_2019
MYOD1 mouse,8/50,0.0022307985721257,0.0119223790354718,0,0,3.860696517412936,23.57107973697979,RB1;FOSL1;CREBBP;ALDH1A1;ARNT;SNAI2;PPARGC1A;SMARCA4,TRRUST_Transcription_Factors_2019
CTNNB1 mouse,9/62,0.0024272460440665,0.0127174854216992,0,0,3.44352711383178,20.73346979478951,BMP4;GJA1;CDH1;MYC;E2F1;TCF4;SMC3;PML;BCL2L1,TRRUST_Transcription_Factors_2019
KLF4 human,7/40,0.0024588139139829,0.0127174854216992,0,0,4.296866427856843,25.81590089441869,HSPA8;CDH1;VDR;IL1B;CD14;TP53;ATF3,TRRUST_Transcription_Factors_2019
RUNX3 human,6/30,0.0024656476516154,0.0127174854216992,0,0,5.0611702127659575,30.393849360667524,JAG1;MYC;TRAF6;TCF4;FADD;RUNX1,TRRUST_Transcription_Factors_2019
FLI1 mouse,4/13,0.0025232092972448,0.0127174854216992,0,0,8.98560981363529,53.75392760022515,RB1;LYL1;FLI1;EZH2,TRRUST_Transcription_Factors_2019
PAX5 human,5/21,0.0025289714797162,0.0127174854216992,0,0,6.322396386822529,37.80756741591688,RB1;XBP1;MMP1;PRDM1;TP53,TRRUST_Transcription_Factors_2019
IRF1 human,8/51,0.0025382091486135,0.0127174854216992,0,0,3.770714533644072,22.53490809338534,CD40;CIITA;IRF2;CDK2;E2F1;HLA-A;HLA-G;TP53,TRRUST_Transcription_Factors_2019
CIITA human,6/31,0.0029369068381619,0.0142472175877709,0,0,4.858468085106383,28.32680429398981,CREBBP;STAT1;IRF2;S100A4;HLA-A;HLA-G,TRRUST_Transcription_Factors_2019
CREB1 mouse,6/31,0.0029369068381619,0.0142472175877709,0,0,4.858468085106383,28.32680429398981,HSPA5;PDE3B;NF1;ETV3;PPARGC1A;ESR1,TRRUST_Transcription_Factors_2019
SMAD3 human,6/31,0.0029369068381619,0.0142472175877709,0,0,4.858468085106383,28.32680429398981,JUN;TGFB1;VDR;MYC;AHR;GLI2,TRRUST_Transcription_Factors_2019
GATA4 mouse,5/22,0.0031468992111612,0.0142472175877709,0,0,5.950178158404701,34.28098567654099,BMP4;HSPA5;NKX2-5;EPOR;SPDEF,TRRUST_Transcription_Factors_2019
E2F6 human,3/7,0.0031989594583768,0.0142472175877709,0,0,15.151113467656415,87.0420816167867,E2F1;BRCA1;BRD7,TRRUST_Transcription_Factors_2019
ELK1 mouse,3/7,0.0031989594583768,0.0142472175877709,0,0,15.151113467656415,87.0420816167867,EGR1;TBP;MYLK3,TRRUST_Transcription_Factors_2019
FOSL1 mouse,3/7,0.0031989594583768,0.0142472175877709,0,0,15.151113467656415,87.0420816167867,JUN;PRDM1;NFE2L2,TRRUST_Transcription_Factors_2019
HDAC3 mouse,3/7,0.0031989594583768,0.0142472175877709,0,0,15.151113467656415,87.0420816167867,NFKBIA;JUN;BCL2L1,TRRUST_Transcription_Factors_2019
HEY1 human,3/7,0.0031989594583768,0.0142472175877709,0,0,15.151113467656415,87.0420816167867,BMP2;GATA6;GATA4,TRRUST_Transcription_Factors_2019
HOXA1 human,3/7,0.0031989594583768,0.0142472175877709,0,0,15.151113467656415,87.0420816167867,LYL1;EPAS1;MYC,TRRUST_Transcription_Factors_2019
MEF2A mouse,3/7,0.0031989594583768,0.0142472175877709,0,0,15.151113467656415,87.0420816167867,MEF2A;COX6A1;PPARGC1A,TRRUST_Transcription_Factors_2019
NCOR1 human,3/7,0.0031989594583768,0.0142472175877709,0,0,15.151113467656415,87.0420816167867,SNAI2;IGF1;ESR1,TRRUST_Transcription_Factors_2019
VDR human,7/42,0.0032784494239851,0.0144672859902461,0,0,4.050905218317359,23.17273625206947,NCOR1;CYP24A1;CDH1;BHLHE40;DDIT4;ASAP2;CD14,TRRUST_Transcription_Factors_2019
ATF6 human,4/14,0.0034013402943881,0.0145654141582449,0,0,8.086624203821657,45.961021854367296,XBP1;HSPA5;SRF;DDIT3,TRRUST_Transcription_Factors_2019
NF1 human,4/14,0.0034013402943881,0.0145654141582449,0,0,8.086624203821657,45.961021854367296,MYC;SP3;PLAT;TP53,TRRUST_Transcription_Factors_2019
PGR mouse,4/14,0.0034013402943881,0.0145654141582449,0,0,8.086624203821657,45.961021854367296,NFKBIA;KLF5;ESR1;BCL2L1,TRRUST_Transcription_Factors_2019
CREB1 human,11/90,0.0034218124737664,0.0145654141582449,0,0,2.8257632166790767,16.043510584683276,PPP2CA;LYL1;JUN;NR5A2;RRM2B;PLAU;NF1;SNAI2;PLAT;ETV3;GABPA,TRRUST_Transcription_Factors_2019
IRF8 mouse,5/23,0.00386657148706,0.0161723555241383,0,0,5.619317510922187,31.217483928132165,CD8A;IL1B;NF1;ABL1;JAK1,TRRUST_Transcription_Factors_2019
NOTCH1 mouse,5/23,0.00386657148706,0.0161723555241383,0,0,5.619317510922187,31.217483928132165,SMARCC1;CTNNB1;TCF3;GATA2;RBPJ,TRRUST_Transcription_Factors_2019
